========== LLM-AS-A-JUDGE FOR MERGE AND BASE MODEL SUMMARY ==========
A2__Uniform__LoRA    | a2_middle_1310_test       | Faith=2.17 ± 0.90     | Fluency=2.75 ± 1.53     | Style=2.42 ± 1.19     | Overall=2.25 ± 1.01    
UNIFIED__HierA1plusA2__FisherPlusSNR50_Reapplied__LoRA | a2_middle_1310_test       | Faith=2.08 ± 0.64     | Fluency=3.00 ± 1.08     | Style=2.33 ± 0.85     | Overall=2.17 ± 0.69    
UNIFIED__HierA1plusA2__FisherPlusSNR50_Reapplied__LoRA | real_97_test              | Faith=1.84 ± 0.89     | Fluency=2.36 ± 1.29     | Style=2.04 ± 1.12     | Overall=1.84 ± 0.92    
UNIFIED__HierA1plusA2__FisherPlusSNR50_Reapplied__LoRA | a2_early_1260_test        | Faith=2.00 ± 0.89     | Fluency=2.80 ± 1.54     | Style=2.40 ± 1.36     | Overall=2.10 ± 1.04    
UNIFIED__HierA1plusA2__FisherPlusSNR50_Reapplied__LoRA | a2_late_1360_test         | Faith=2.17 ± 1.07     | Fluency=2.33 ± 1.37     | Style=2.00 ± 1.16     | Overall=2.17 ± 1.07    
UNIFIED__HierA1plusA2__FisherPlusSNR50_Reapplied__LoRA | a1_lexical_test           | Faith=2.40 ± 0.49     | Fluency=2.80 ± 0.40     | Style=2.60 ± 0.49     | Overall=2.40 ± 0.49    
UNIFIED__HierA1plusA2__FisherPlusSNR50_Reapplied__LoRA | a1_syntactic_test         | Faith=2.67 ± 0.74     | Fluency=3.33 ± 1.37     | Style=3.00 ± 1.41     | Overall=2.67 ± 1.11    
UNIFIED__HierA1plusA2__FisherPlusSNR50_Reapplied__LoRA | a1_semantic_test          | Faith=1.60 ± 0.80     | Fluency=2.40 ± 1.36     | Style=1.60 ± 1.20     | Overall=1.60 ± 1.20    
A1__FisherAllLayers__LoRA | real_97_test              | Faith=2.21 ± 1.20     | Fluency=2.65 ± 1.53     | Style=2.30 ± 1.25     | Overall=2.22 ± 1.24    
A1__FisherAllLayers__LoRA | a1_lexical_test           | Faith=2.00 ± 0.89     | Fluency=2.20 ± 1.17     | Style=2.00 ± 0.89     | Overall=2.00 ± 0.89    
A1__FisherAllLayers__LoRA | a1_syntactic_test         | Faith=1.83 ± 0.90     | Fluency=2.33 ± 1.49     | Style=2.17 ± 1.21     | Overall=2.00 ± 1.00    
A1__FisherAllLayers__LoRA | a1_semantic_test          | Faith=3.00 ± 1.09     | Fluency=3.40 ± 1.50     | Style=2.80 ± 1.17     | Overall=2.80 ± 1.17    
BASE__Mistral7BInstruct_v0_2 | a2_middle_1310_test       | Faith=1.17 ± 0.37     | Fluency=1.42 ± 0.76     | Style=1.33 ± 0.62     | Overall=1.17 ± 0.37    
BASE__Mistral7BInstruct_v0_2 | real_97_test              | Faith=1.13 ± 0.40     | Fluency=1.35 ± 0.61     | Style=1.17 ± 0.42     | Overall=1.10 ± 0.37    
BASE__Mistral7BInstruct_v0_2 | a2_early_1260_test        | Faith=1.30 ± 0.64     | Fluency=1.30 ± 0.64     | Style=1.30 ± 0.64     | Overall=1.30 ± 0.64    
BASE__Mistral7BInstruct_v0_2 | a2_late_1360_test         | Faith=1.33 ± 0.74     | Fluency=1.33 ± 0.74     | Style=1.33 ± 0.74     | Overall=1.33 ± 0.74    
BASE__Mistral7BInstruct_v0_2 | a1_lexical_test           | Faith=1.40 ± 0.80     | Fluency=1.60 ± 0.80     | Style=1.40 ± 0.80     | Overall=1.40 ± 0.80    
BASE__Mistral7BInstruct_v0_2 | a1_syntactic_test         | Faith=1.50 ± 0.76     | Fluency=1.50 ± 0.76     | Style=1.33 ± 0.47     | Overall=1.50 ± 0.76    
BASE__Mistral7BInstruct_v0_2 | a1_semantic_test          | Faith=1.40 ± 0.80     | Fluency=1.60 ± 0.80     | Style=1.60 ± 0.80     | Overall=1.40 ± 0.80    
A1__FisherPlusSNR50__LoRA | real_97_test              | Faith=2.03 ± 1.00     | Fluency=2.68 ± 1.33     | Style=2.21 ± 1.12     | Overall=2.07 ± 1.03    
A1__FisherPlusSNR50__LoRA | a1_lexical_test           | Faith=2.40 ± 1.02     | Fluency=2.60 ± 1.02     | Style=2.40 ± 1.02     | Overall=2.40 ± 1.02    
A1__FisherPlusSNR50__LoRA | a1_syntactic_test         | Faith=3.17 ± 0.69     | Fluency=3.50 ± 1.12     | Style=3.17 ± 0.69     | Overall=3.17 ± 0.69    
A1__FisherPlusSNR50__LoRA | a1_semantic_test          | Faith=2.00 ± 1.09     | Fluency=3.60 ± 1.36     | Style=2.60 ± 1.36     | Overall=2.00 ± 1.09    
A1__Uniform__LoRA    | real_97_test              | Faith=1.94 ± 1.03     | Fluency=2.59 ± 1.40     | Style=2.11 ± 1.22     | Overall=1.98 ± 1.10    
A1__Uniform__LoRA    | a1_lexical_test           | Faith=2.20 ± 0.40     | Fluency=3.80 ± 0.98     | Style=3.20 ± 0.75     | Overall=2.60 ± 0.80    
A1__Uniform__LoRA    | a1_syntactic_test         | Faith=1.33 ± 0.47     | Fluency=2.50 ± 1.26     | Style=1.83 ± 1.21     | Overall=1.67 ± 0.94    
A1__Uniform__LoRA    | a1_semantic_test          | Faith=2.20 ± 1.17     | Fluency=2.60 ± 1.36     | Style=2.20 ± 1.17     | Overall=2.20 ± 1.17    
UNIFIED__HierA1plusA2__FisherAllLayers__LoRA | a2_middle_1310_test       | Faith=1.83 ± 0.90     | Fluency=2.08 ± 1.38     | Style=2.00 ± 1.29     | Overall=1.83 ± 1.07    
UNIFIED__HierA1plusA2__FisherAllLayers__LoRA | real_97_test              | Faith=2.08 ± 1.21     | Fluency=2.59 ± 1.64     | Style=2.33 ± 1.36     | Overall=2.14 ± 1.26    
UNIFIED__HierA1plusA2__FisherAllLayers__LoRA | a2_early_1260_test        | Faith=1.80 ± 0.87     | Fluency=2.50 ± 1.20     | Style=2.10 ± 1.04     | Overall=1.90 ± 0.94    
UNIFIED__HierA1plusA2__FisherAllLayers__LoRA | a2_late_1360_test         | Faith=2.83 ± 1.57     | Fluency=3.00 ± 1.73     | Style=2.67 ± 1.37     | Overall=2.83 ± 1.57    
UNIFIED__HierA1plusA2__FisherAllLayers__LoRA | a1_lexical_test           | Faith=1.80 ± 0.98     | Fluency=2.00 ± 1.26     | Style=1.80 ± 0.98     | Overall=1.80 ± 0.98    
UNIFIED__HierA1plusA2__FisherAllLayers__LoRA | a1_syntactic_test         | Faith=1.50 ± 0.76     | Fluency=2.00 ± 1.41     | Style=1.67 ± 0.94     | Overall=1.50 ± 0.76    
UNIFIED__HierA1plusA2__FisherAllLayers__LoRA | a1_semantic_test          | Faith=1.40 ± 0.80     | Fluency=1.60 ± 1.20     | Style=1.40 ± 0.80     | Overall=1.40 ± 0.80    
UNIFIED__HierA1plusA2__Uniform__LoRA | a2_middle_1310_test       | Faith=2.17 ± 0.90     | Fluency=3.08 ± 1.38     | Style=2.33 ± 0.94     | Overall=2.08 ± 0.95    
UNIFIED__HierA1plusA2__Uniform__LoRA | real_97_test              | Faith=1.87 ± 1.06     | Fluency=2.41 ± 1.43     | Style=2.01 ± 1.27     | Overall=1.92 ± 1.16    
UNIFIED__HierA1plusA2__Uniform__LoRA | a2_early_1260_test        | Faith=2.20 ± 1.40     | Fluency=2.70 ± 1.55     | Style=2.30 ± 1.49     | Overall=2.20 ± 1.40    
UNIFIED__HierA1plusA2__Uniform__LoRA | a2_late_1360_test         | Faith=1.83 ± 0.69     | Fluency=2.83 ± 1.57     | Style=2.33 ± 1.25     | Overall=2.17 ± 1.07    
UNIFIED__HierA1plusA2__Uniform__LoRA | a1_lexical_test           | Faith=2.20 ± 0.75     | Fluency=3.00 ± 1.26     | Style=2.60 ± 1.02     | Overall=2.40 ± 0.80    
UNIFIED__HierA1plusA2__Uniform__LoRA | a1_syntactic_test         | Faith=2.00 ± 1.00     | Fluency=2.67 ± 0.74     | Style=2.17 ± 0.90     | Overall=2.00 ± 1.00    
UNIFIED__HierA1plusA2__Uniform__LoRA | a1_semantic_test          | Faith=1.40 ± 0.80     | Fluency=2.40 ± 1.36     | Style=1.60 ± 1.20     | Overall=1.60 ± 1.20    
