========== LLM-AS-A-JUDGE SUMMARY ==========
gpt4_1_fewshot       | a2_middle_1310_test       | Faith=4.75 ± 0.43     | Fluency=5.00 ± 0.00     | Style=4.83 ± 0.37     | Overall=4.75 ± 0.43    
gemini2_5_fewshot    | a2_late_1360_test         | Faith=N/A             | Fluency=N/A             | Style=N/A             | Overall=N/A            
gemini2_5_fewshot    | a1_semantic_test          | Faith=4.60 ± 0.49     | Fluency=5.00 ± 0.00     | Style=5.00 ± 0.00     | Overall=4.80 ± 0.40    
gemini2_5            | a2_middle_1310_test       | Faith=4.25 ± 0.59     | Fluency=4.92 ± 0.28     | Style=4.50 ± 0.50     | Overall=4.50 ± 0.50    
gemini2_5            | a1_syntactic_test         | Faith=4.33 ± 0.47     | Fluency=5.00 ± 0.00     | Style=4.67 ± 0.47     | Overall=4.50 ± 0.50    
gemini2_5            | a1_lexical_test           | Faith=4.40 ± 0.49     | Fluency=5.00 ± 0.00     | Style=4.40 ± 0.49     | Overall=4.40 ± 0.49    
gemini2_5            | a2_early_1260_test        | Faith=4.10 ± 0.54     | Fluency=4.90 ± 0.30     | Style=4.20 ± 0.60     | Overall=4.10 ± 0.54    
gemini2_5            | real_97_test              | Faith=4.24 ± 0.57     | Fluency=4.98 ± 0.14     | Style=4.59 ± 0.51     | Overall=4.40 ± 0.55    
gemini2_5            | a2_late_1360_test         | Faith=4.33 ± 0.74     | Fluency=4.83 ± 0.37     | Style=4.33 ± 0.74     | Overall=4.33 ± 0.74    
gemini2_5            | a1_semantic_test          | Faith=4.20 ± 0.75     | Fluency=5.00 ± 0.00     | Style=4.80 ± 0.40     | Overall=4.40 ± 0.49    
gpt4_1               | a2_middle_1310_test       | Faith=4.75 ± 0.43     | Fluency=5.00 ± 0.00     | Style=5.00 ± 0.00     | Overall=5.00 ± 0.00    
gpt4_1               | a1_syntactic_test         | Faith=4.33 ± 0.47     | Fluency=5.00 ± 0.00     | Style=5.00 ± 0.00     | Overall=4.67 ± 0.47    
gpt4_1               | a1_lexical_test           | Faith=4.40 ± 0.80     | Fluency=5.00 ± 0.00     | Style=4.80 ± 0.40     | Overall=4.60 ± 0.49    
gpt4_1               | a2_early_1260_test        | Faith=4.70 ± 0.46     | Fluency=5.00 ± 0.00     | Style=4.70 ± 0.46     | Overall=4.70 ± 0.46    
gpt4_1               | real_97_test              | Faith=4.66 ± 0.47     | Fluency=5.00 ± 0.00     | Style=4.83 ± 0.38     | Overall=4.78 ± 0.41    
gpt4_1               | a2_late_1360_test         | Faith=4.50 ± 0.50     | Fluency=5.00 ± 0.00     | Style=4.67 ± 0.47     | Overall=4.67 ± 0.47    
gpt4_1               | a1_semantic_test          | Faith=4.00 ± 0.00     | Fluency=5.00 ± 0.00     | Style=4.40 ± 0.49     | Overall=4.40 ± 0.49  


========== LLM-AS-A-JUDGE SUMMARY FOR FINETUNED MODELS ==========
a1_lexical_expert    | a1_lexical_test           | Faith=2.60 ± 0.49     | Fluency=2.80 ± 0.40     | Style=2.80 ± 0.40     | Overall=2.60 ± 0.49    
a1_lexical_expert    | real_97_test              | Faith=2.61 ± 0.84     | Fluency=3.06 ± 0.95     | Style=2.68 ± 0.77     | Overall=2.55 ± 0.84    
a1_merged_full       | a1_syntactic_test         | Faith=3.00 ± 0.00     | Fluency=4.17 ± 0.90     | Style=3.67 ± 0.74     | Overall=3.50 ± 0.50    
a1_merged_full       | a1_lexical_test           | Faith=3.20 ± 0.40     | Fluency=4.20 ± 0.98     | Style=3.60 ± 0.49     | Overall=3.40 ± 0.49    
a1_merged_full       | real_97_test              | Faith=2.83 ± 0.70     | Fluency=3.71 ± 0.91     | Style=3.22 ± 0.75     | Overall=2.94 ± 0.71    
a1_merged_full       | a1_semantic_test          | Faith=3.20 ± 0.75     | Fluency=5.00 ± 0.00     | Style=4.20 ± 0.40     | Overall=3.60 ± 0.49    
a1_syntactic_expert  | a1_syntactic_test         | Faith=2.33 ± 0.47     | Fluency=2.50 ± 0.76     | Style=2.17 ± 0.37     | Overall=2.33 ± 0.47    
a1_syntactic_expert  | real_97_test              | Faith=2.65 ± 0.76     | Fluency=3.23 ± 0.82     | Style=2.75 ± 0.70     | Overall=2.65 ± 0.76    
a2_middle_expert     | a2_middle_1310_test       | Faith=3.08 ± 0.95     | Fluency=3.67 ± 1.31     | Style=3.17 ± 1.14     | Overall=2.83 ± 1.07    
a2_middle_expert     | real_97_test              | Faith=3.09 ± 0.91     | Fluency=4.01 ± 1.05     | Style=3.41 ± 0.93     | Overall=3.21 ± 0.92    
a2_late_expert       | real_97_test              | Faith=2.31 ± 0.69     | Fluency=2.91 ± 0.94     | Style=2.47 ± 0.69     | Overall=2.36 ± 0.69    
a2_late_expert       | a2_late_1360_test         | Faith=3.67 ± 0.74     | Fluency=4.33 ± 0.74     | Style=3.50 ± 0.96     | Overall=3.67 ± 0.74    
a1_semantic_expert   | real_97_test              | Faith=2.35 ± 0.75     | Fluency=3.60 ± 1.04     | Style=2.93 ± 0.80     | Overall=2.50 ± 0.73    
a1_semantic_expert   | a1_semantic_test          | Faith=2.80 ± 0.40     | Fluency=3.40 ± 1.20     | Style=3.00 ± 0.89     | Overall=2.60 ± 0.49    
a2_merged_lora       | a2_middle_1310_test       | Faith=3.08 ± 0.64     | Fluency=3.92 ± 0.86     | Style=3.33 ± 0.62     | Overall=3.17 ± 0.69    
a2_merged_lora       | a2_early_1260_test        | Faith=3.00 ± 0.45     | Fluency=3.70 ± 0.78     | Style=3.50 ± 0.67     | Overall=3.20 ± 0.40    
a2_merged_lora       | real_97_test              | Faith=2.96 ± 0.67     | Fluency=3.93 ± 1.00     | Style=3.28 ± 0.78     | Overall=3.08 ± 0.78    
a2_merged_lora       | a2_late_1360_test         | Faith=2.83 ± 0.37     | Fluency=3.67 ± 1.11     | Style=3.17 ± 0.69     | Overall=3.00 ± 0.58    
a1_merged_lora       | a1_syntactic_test         | Faith=3.00 ± 0.58     | Fluency=4.50 ± 0.76     | Style=3.67 ± 0.47     | Overall=3.50 ± 0.50    
a1_merged_lora       | a1_lexical_test           | Faith=2.80 ± 0.40     | Fluency=3.60 ± 0.80     | Style=3.00 ± 0.00     | Overall=3.00 ± 0.00    
a1_merged_lora       | real_97_test              | Faith=2.92 ± 0.67     | Fluency=3.89 ± 0.87     | Style=3.27 ± 0.72     | Overall=3.04 ± 0.72    
a1_merged_lora       | a1_semantic_test          | Faith=2.80 ± 0.75     | Fluency=4.00 ± 0.89     | Style=3.40 ± 0.49     | Overall=3.00 ± 0.63    
a2_early_expert      | a2_early_1260_test        | Faith=3.00 ± 0.89     | Fluency=4.10 ± 1.04     | Style=3.70 ± 1.10     | Overall=3.40 ± 0.92    
a2_early_expert      | real_97_test              | Faith=2.96 ± 0.86     | Fluency=3.86 ± 0.98     | Style=3.23 ± 0.78     | Overall=3.05 ± 0.89    
a2_merged_full       | a2_middle_1310_test       | Faith=3.08 ± 0.49     | Fluency=4.00 ± 0.82     | Style=3.42 ± 0.64     | Overall=3.17 ± 0.55    
a2_merged_full       | a2_early_1260_test        | Faith=3.00 ± 0.63     | Fluency=4.30 ± 0.90     | Style=3.50 ± 0.67     | Overall=3.30 ± 0.78    
a2_merged_full       | real_97_test              | Faith=2.93 ± 0.75     | Fluency=3.67 ± 1.04     | Style=3.21 ± 0.79     | Overall=3.01 ± 0.75    
a2_merged_full       | a2_late_1360_test         | Faith=2.83 ± 0.37     | Fluency=4.00 ± 0.82     | Style=3.33 ± 0.74     | Overall=2.83 ± 0.37    
unified_merged_full  | a2_middle_1310_test       | Faith=2.75 ± 0.72     | Fluency=3.75 ± 0.72     | Style=3.42 ± 0.64     | Overall=3.25 ± 0.72    
unified_merged_full  | a1_syntactic_test         | Faith=2.83 ± 1.07     | Fluency=4.00 ± 1.16     | Style=3.33 ± 1.11     | Overall=3.00 ± 1.00    
unified_merged_full  | a1_lexical_test           | Faith=3.00 ± 0.00     | Fluency=3.60 ± 0.80     | Style=3.20 ± 0.40     | Overall=3.20 ± 0.40    
unified_merged_full  | a2_early_1260_test        | Faith=2.90 ± 0.54     | Fluency=3.90 ± 0.83     | Style=3.60 ± 0.80     | Overall=3.10 ± 0.54    
unified_merged_full  | real_97_test              | Faith=2.88 ± 0.71     | Fluency=3.76 ± 0.87     | Style=3.14 ± 0.70     | Overall=2.98 ± 0.75    
unified_merged_full  | a2_late_1360_test         | Faith=2.83 ± 0.69     | Fluency=3.50 ± 1.12     | Style=3.17 ± 0.69     | Overall=2.83 ± 0.69    
unified_merged_full  | a1_semantic_test          | Faith=3.00 ± 0.63     | Fluency=3.80 ± 0.98     | Style=3.40 ± 1.02     | Overall=3.00 ± 0.63     
